City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,City_ID
Emerald,-23.5333,148.1667,74.66,78,73,6.91,AU,1615124362,287
Ballina,-28.8667,153.5667,70.92,78,90,5.75,AU,1615124362,288
Tubualá,9.5167,-79.0333,72.12,78,20,5.75,PA,1615124363,289
Saint-Joseph,-21.3667,55.6167,76.59,89,65,6.91,RE,1615124363,290
Llata,-9.4167,-76.7833,58.12,55,86,3.0,PE,1615124363,291
Toamasina,-18.1667,49.3833,87.8,70,40,11.5,MG,1615124363,292
Verkhoyansk,67.5447,133.385,-26.19,82,69,2.46,RU,1615124363,293
Torrox,36.7579,-3.9523,55.36,88,100,1.01,ES,1615124364,294
Joshīmath,30.5667,79.5667,50.07,49,100,2.48,IN,1615124364,295
Lewistown,40.5992,-77.5714,29.01,63,1,3.44,US,1615124364,296
Sovetskaya Gavan',48.9723,140.2878,6.44,87,2,7.65,RU,1615124364,297
Hirson,49.9226,4.0826,44.64,65,0,7.0,FR,1615124364,298
Mossamedes,-15.1961,12.1522,87.8,58,20,16.11,AO,1615124364,299
Eluru,16.7,81.1,86.0,66,20,2.3,IN,1615124364,300
Golden,39.7555,-105.2211,40.55,32,100,1.01,US,1615124365,301
Baruun-Urt,46.6806,113.2792,19.78,91,69,8.01,MN,1615124365,302
Kayerkan,69.3497,87.7602,-10.25,90,93,3.69,RU,1615124365,303
Tommot,58.9564,126.2925,9.7,91,100,3.49,RU,1615124365,304
Myaundzha,63.0494,147.1858,-32.87,78,59,2.77,RU,1615124365,305
Taltal,-25.4,-70.4833,70.61,66,15,5.75,CL,1615124365,306
North Vanlaiphai,23.1333,93.0667,56.79,64,7,0.54,IN,1615124365,307
Palauig,15.435,119.9045,78.96,73,0,3.78,PH,1615124365,308
Sioux Lookout,50.1001,-91.917,21.2,63,75,13.8,CA,1615124365,309
Mandera,3.9366,41.867,99.77,13,84,13.44,KE,1615124365,310
Sept-Îles,50.2001,-66.3821,21.29,63,0,13.8,CA,1615124247,311
Alihe,50.5667,123.7167,8.13,90,0,2.28,CN,1615124126,312
Penzance,50.1186,-5.5371,42.4,61,1,9.22,GB,1615124366,313
Cairns,-16.9167,145.7667,78.78,74,75,8.05,AU,1615124366,314
Monticello,45.3055,-93.7941,36.73,75,1,15.48,US,1615124366,315
Oneonta,42.4529,-75.0638,17.78,83,98,7.65,US,1615124366,316
Sitka,57.0531,-135.33,39.2,70,90,5.93,US,1615124366,317
Madarounfa,13.3087,7.156,98.6,2,0,13.8,NE,1615124366,318
Pop,40.8736,71.1089,52.03,56,32,3.65,UZ,1615124366,319
Empangeni,-28.762,31.8933,78.44,76,96,9.33,ZA,1615124367,320
Huarmey,-10.0681,-78.1522,76.39,66,66,7.07,PE,1615124367,321
Christchurch,-43.5333,172.6333,51.42,93,75,4.61,NZ,1615124120,322
San Isidro,-12.1167,-77.05,73.17,83,40,2.3,PE,1615124367,323
Hargeisa,9.56,44.065,75.09,24,0,15.82,SO,1615124367,324
Poum,-20.2333,164.0167,77.56,73,12,9.73,NC,1615124367,325
Vila Velha,-20.3297,-40.2925,80.92,83,40,5.75,BR,1615124368,326
Malinao,7.5917,124.6889,68.2,89,100,3.65,PH,1615124368,327
Atar,20.5169,-13.0499,78.8,13,0,20.71,MR,1615124368,328
Metro,-5.1131,105.3067,75.51,87,73,3.04,ID,1615124368,329
Japura,-0.3167,102.35,71.69,96,100,1.68,ID,1615124369,330
Salalah,17.0151,54.0924,84.2,58,0,4.61,OM,1615124369,331
Nokaneng,-19.6667,22.2667,87.64,30,46,9.37,BW,1615124369,332
Deputatsky,69.3,139.9,-21.15,86,100,8.97,RU,1615124369,333
Gainesville,29.6516,-82.3248,47.86,71,1,9.22,US,1615124165,334
Kamaishi,39.2667,141.8833,33.98,83,73,7.43,JP,1615124248,335
Were Īlu,10.6,39.4333,66.0,33,2,10.4,ET,1615124369,336
Tuy Hoa,13.0833,109.3,73.87,89,10,3.76,VN,1615124369,337
Louis Trichardt,-23.0439,29.9032,88.27,27,26,5.39,ZA,1615124370,338
Namatanai,-3.6667,152.4333,79.21,79,100,3.51,PG,1615124370,339
Bongaree,-27.0797,153.1586,75.99,65,75,14.97,AU,1615124370,340
Cap Malheureux,-19.9842,57.6142,82.99,77,100,10.0,MU,1615124370,341
Alyangula,-13.8483,136.4192,80.6,94,47,5.75,AU,1615124370,342
Tolaga Bay,-38.3667,178.3,60.03,62,0,12.62,NZ,1615124370,343
São João da Barra,-21.6403,-41.0511,78.8,83,75,9.22,BR,1615124371,344
Rusape,-18.5278,32.1284,75.2,48,0,9.91,ZW,1615124371,345
Lüderitz,-26.6481,15.1594,77.14,45,0,18.14,NA,1615124371,346
Jiangyou,31.7667,104.7167,52.29,85,100,6.31,CN,1615124371,347
Palimé,6.9,0.6333,94.55,44,100,2.75,TG,1615124371,348
Yermish',54.7678,42.2711,25.32,98,100,20.15,RU,1615124371,349
Saint-Pierre,-21.3393,55.4781,76.6,89,76,6.91,RE,1615124371,350
Ambilobe,-13.2,49.05,78.06,90,100,8.39,MG,1615124371,351
Magway,20.15,94.9167,79.54,26,9,5.86,MM,1615124372,352
Hondomachi-hondo,32.45,130.2,48.09,93,75,1.14,JP,1615124372,353
Sambava,-14.2667,50.1667,80.31,81,100,8.95,MG,1615124372,354
Tautira,-17.7333,-149.15,80.31,78,40,6.91,PF,1615124372,355
